attack_key,attack_label,strength,P,Q,raw_similarity
distortion_single_rotation,Dist-Rotation,0.2,1.0,0.14310882861351704,1e-12
distortion_single_rotation,Dist-Rotation,0.4,1.0,0.12639127340746023,1e-12
distortion_single_rotation,Dist-Rotation,0.6,1.0,0.11533503160912695,1e-12
distortion_single_rotation,Dist-Rotation,0.8,1.0,0.10552437176446285,1e-12
distortion_single_rotation,Dist-Rotation,1.0,1.0,0.09946139836500295,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.2,1.0,0.2098567245547684,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.4,1.0,0.19468887142848046,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.6,1.0,0.17947689528883784,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.8,1.0,0.19067606356961916,1e-12
distortion_single_resizedcrop,Dist-RCrop,1.0,1.0,0.16466619269720362,1e-12
distortion_single_erasing,Dist-Erase,0.2,1.0,0.946781141116734,1e-12
distortion_single_erasing,Dist-Erase,0.4,1.0,0.8948311032186537,1e-12
distortion_single_erasing,Dist-Erase,0.6,1.0,0.8438186239617675,1e-12
distortion_single_erasing,Dist-Erase,0.8,1.0,0.7938179955733857,1e-12
distortion_single_erasing,Dist-Erase,1.0,1.0,0.7419030842194605,1e-12
distortion_single_brightness,Dist-Bright,0.2,1.0,0.9708249716301066,1e-12
distortion_single_brightness,Dist-Bright,0.4,1.0,0.9038986689941316,1e-12
distortion_single_brightness,Dist-Bright,0.6,1.0,0.8240136490595569,1e-12
distortion_single_brightness,Dist-Bright,0.8,1.0,0.7482024690087762,1e-12
distortion_single_brightness,Dist-Bright,1.0,1.0,0.6843054831983191,1e-12
distortion_single_contrast,Dist-Contrast,0.2,1.0,0.982591737849353,1e-12
distortion_single_contrast,Dist-Contrast,0.4,1.0,0.9385482808697505,1e-12
distortion_single_contrast,Dist-Contrast,0.6,1.0,0.8769861618996293,1e-12
distortion_single_contrast,Dist-Contrast,0.8,1.0,0.8093686030594374,1e-12
distortion_single_contrast,Dist-Contrast,1.0,1.0,0.7451575959693837,1e-12
distortion_single_blurring,Dist-Blur,0.2,1.0,0.3314437502904783,1e-12
distortion_single_blurring,Dist-Blur,0.4,1.0,0.2912789033279131,1e-12
distortion_single_blurring,Dist-Blur,0.6,1.0,0.28726139432996584,1e-12
distortion_single_blurring,Dist-Blur,0.8,1.0,0.2868375407158588,1e-12
distortion_single_blurring,Dist-Blur,1.0,1.0,0.28661809132120014,1e-12
distortion_single_noise,Dist-Noise,0.2,1.0,0.9273253821152371,1e-12
distortion_single_noise,Dist-Noise,0.4,1.0,0.7900780085409378,1e-12
distortion_single_noise,Dist-Noise,0.6,1.0,0.6602459146984132,1e-12
distortion_single_noise,Dist-Noise,0.8,1.0,0.5532147788681102,1e-12
distortion_single_noise,Dist-Noise,1.0,1.0,0.46758034347265137,1e-12
distortion_single_jpeg,Dist-JPEG,0.2,1.0,0.937736963610678,1e-12
distortion_single_jpeg,Dist-JPEG,0.4,1.0,0.9006605981220592,1e-12
distortion_single_jpeg,Dist-JPEG,0.6,1.0,0.8696873930860092,1e-12
distortion_single_jpeg,Dist-JPEG,0.8,1.0,0.8138992778099295,1e-12
distortion_single_jpeg,Dist-JPEG,1.0,1.0,0.669914521392577,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.2,1.0,0.17073186972217952,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.4,1.0,0.15934825916728837,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.6,1.0,0.10864651090657855,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.8,1.0,0.12682818726866218,1e-12
distortion_combo_geometric,Dist-Com-Geo,1.0,1.0,0.1380475046342527,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.2,1.0,0.9320273121621763,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.4,1.0,0.790908675745816,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.6,1.0,0.6535510093476629,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.8,1.0,0.5503888261466261,1e-12
distortion_combo_photometric,Dist-Com-Photo,1.0,1.0,0.4807544007023243,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.2,1.0,0.3044802408454774,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.4,1.0,0.20778652437866915,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.6,1.0,0.1540081769422737,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.8,1.0,0.129522909512707,1e-12
distortion_combo_degradation,Dist-Com-Deg,1.0,1.0,0.14727243653269814,1e-12
distortion_combo_all,Dist-Com-All,0.2,1.0,0.21612776654570087,1e-12
distortion_combo_all,Dist-Com-All,0.4,1.0,0.1971826448167689,1e-12
distortion_combo_all,Dist-Com-All,0.6,1.0,0.14396902287960858,1e-12
distortion_combo_all,Dist-Com-All,0.8,1.0,0.11188645110501938,1e-12
distortion_combo_all,Dist-Com-All,1.0,1.0,0.09017174781867399,1e-12
regen_diffusion,Regen-Diffusion,0.2,1.0,0.936319981574268,1e-12
