Attack,Rank,Q@0.7P,Q@0.4P,Avg P,Avg Q,attack_key
Dist-Rotation,1,0.05316199329002622,0.05316199329002622,1.0,0.04496926199094807,distortion_single_rotation
Dist-RCrop,2,0.09353523053737911,0.09353523053737911,1.0,0.07275299505098234,distortion_single_resizedcrop
Dist-Erase,3,0.9486315208526457,0.9486315208526457,1.0,0.8464610799868068,distortion_single_erasing
Dist-Bright,4,0.9699823544372892,0.9699823544372892,1.0,0.8458615762199073,distortion_single_brightness
Dist-Contrast,5,0.9612521997634864,0.9612521997634864,1.0,0.8100223412054316,distortion_single_contrast
Dist-Blur,6,0.2151150225463077,0.2151150225463077,1.0,0.15497483335762102,distortion_single_blurring
Dist-Noise,7,0.9608890255226916,0.9608890255226916,1.0,0.8248868425788144,distortion_single_noise
Dist-JPEG,8,0.9679729030644647,0.9679729030644647,1.0,0.8928694874279618,distortion_single_jpeg
Dist-Com-Geo,9,0.06965830716287784,0.06965830716287784,1.0,0.055694638654987805,distortion_combo_geometric
Dist-Com-Photo,10,0.9174144294068746,0.9174144294068746,1.0,0.7025102564476212,distortion_combo_photometric
Dist-Com-Deg,11,0.20226580346873566,0.20226580346873566,1.0,0.10599806333603332,distortion_combo_degradation
Dist-Com-All,12,0.08444741537484644,0.08444741537484644,1.0,0.06620999298853032,distortion_combo_all
Regen-Diffusion,13,0.9668761705523433,0.9668761705523433,1.0,0.8117748949596099,regen_diffusion
Regen-Diffusion&P,14,0.9611378927885577,0.9611378927885577,1.0,0.6779897535850654,regen_diffusion_prompt
Regen-VAE,15,0.9668761705523433,0.9668761705523433,1.0,0.8117748949596099,regen_vae
Regen-2xDiffusion,16,0.9647208882062156,0.9647208882062156,1.0,0.7136438655525559,2x_regen
Regen-4xDiffusion,17,0.9573968868163273,0.9573968868163273,1.0,0.6313926379285645,4x_regen
Regen-4xVAE,18,0.9573968868163273,0.9573968868163273,1.0,0.6313926379285645,4x_regen_bmshj
AdvEmb-RN18,19,0.9162535733998386,0.9162535733998386,1.0,0.8711804405257537,adv_emb_resnet18_untg
AdvEmb-CLIP,20,0.9162535733998386,0.9162535733998386,1.0,0.8711804405257537,adv_emb_clip_untg_alphaRatio_0.05_step_200
AdvEmb-KLVAE8,21,0.9162535733998386,0.9162535733998386,1.0,0.8711804405257537,adv_emb_same_vae_untg
AdvEmb-KLVAE16,22,0.9162535733998386,0.9162535733998386,1.0,0.8711804405257537,adv_emb_klf16_vae_untg
AdvEmb-SdxlVAE,23,0.9162535733998386,0.9162535733998386,1.0,0.8711804405257537,adv_emb_sdxl_vae_untg
AdvCls-UnWM-WM,24,0.9059126623394272,0.9059126623394272,1.0,0.8521659505333561,adv_cls_unwm_wm_0.01_50_warm_train3k
AdvCls-Real-WM,25,0.9059126623394272,0.9059126623394272,1.0,0.8521659505333561,adv_cls_real_wm_0.01_50_warm
AdvCls-WM1-WM2,26,0.9059126623394272,0.9059126623394272,1.0,0.8521659505333561,adv_cls_wm1_wm2_0.01_50_warm
