attack_key,attack_label,strength,P,Q,raw_similarity
distortion_single_rotation,Dist-Rotation,0.2,1.0,0.05316199329002622,1e-12
distortion_single_rotation,Dist-Rotation,0.4,1.0,0.04450104859407313,1e-12
distortion_single_rotation,Dist-Rotation,0.6,1.0,0.04605075061900686,1e-12
distortion_single_rotation,Dist-Rotation,0.8,1.0,0.044033355469867065,1e-12
distortion_single_rotation,Dist-Rotation,1.0,1.0,0.037099161981767076,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.2,1.0,0.09353523053737911,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.4,1.0,0.06992066676893115,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.6,1.0,0.08350430590274646,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.8,1.0,0.05379894950352447,1e-12
distortion_single_resizedcrop,Dist-RCrop,1.0,1.0,0.06300582254233057,1e-12
distortion_single_erasing,Dist-Erase,0.2,1.0,0.9486315208526457,1e-12
distortion_single_erasing,Dist-Erase,0.4,1.0,0.8963904627904875,1e-12
distortion_single_erasing,Dist-Erase,0.6,1.0,0.8468289753713015,1e-12
distortion_single_erasing,Dist-Erase,0.8,1.0,0.7960813475802886,1e-12
distortion_single_erasing,Dist-Erase,1.0,1.0,0.7443730933393107,1e-12
distortion_single_brightness,Dist-Bright,0.2,1.0,0.9699823544372892,1e-12
distortion_single_brightness,Dist-Bright,0.4,1.0,0.9061151835789032,1e-12
distortion_single_brightness,Dist-Bright,0.6,1.0,0.8395354555414644,1e-12
distortion_single_brightness,Dist-Bright,0.8,1.0,0.7816277333372773,1e-12
distortion_single_brightness,Dist-Bright,1.0,1.0,0.7320471542046023,1e-12
distortion_single_contrast,Dist-Contrast,0.2,1.0,0.9612521997634864,1e-12
distortion_single_contrast,Dist-Contrast,0.4,1.0,0.8781855151238599,1e-12
distortion_single_contrast,Dist-Contrast,0.6,1.0,0.7967668905645067,1e-12
distortion_single_contrast,Dist-Contrast,0.8,1.0,0.7311408869560446,1e-12
distortion_single_contrast,Dist-Contrast,1.0,1.0,0.6827662136192599,1e-12
distortion_single_blurring,Dist-Blur,0.2,1.0,0.2151150225463077,1e-12
distortion_single_blurring,Dist-Blur,0.4,1.0,0.1460794128555111,1e-12
distortion_single_blurring,Dist-Blur,0.6,1.0,0.13849736072282032,1e-12
distortion_single_blurring,Dist-Blur,0.8,1.0,0.13774691531494193,1e-12
distortion_single_blurring,Dist-Blur,1.0,1.0,0.13743545534852397,1e-12
distortion_single_noise,Dist-Noise,0.2,1.0,0.9608890255226916,1e-12
distortion_single_noise,Dist-Noise,0.4,1.0,0.8905678468751452,1e-12
distortion_single_noise,Dist-Noise,0.6,1.0,0.8211891467358343,1e-12
distortion_single_noise,Dist-Noise,0.8,1.0,0.7562257599103991,1e-12
distortion_single_noise,Dist-Noise,1.0,1.0,0.695562433850002,1e-12
distortion_single_jpeg,Dist-JPEG,0.2,1.0,0.9679729030644647,1e-12
distortion_single_jpeg,Dist-JPEG,0.4,1.0,0.944732065088443,1e-12
distortion_single_jpeg,Dist-JPEG,0.6,1.0,0.9202624322256099,1e-12
distortion_single_jpeg,Dist-JPEG,0.8,1.0,0.8735942964102678,1e-12
