method,attack,n_strengths,avg_P,avg_Q,avg_PSNR,avg_SSIM,avg_NMI,avg_LPIPS,avg_FID,avg_CLIP_FID,avg_aesthetics_delta,avg_artifacts
flexible,Regen-Diff,5,1.0,0.3402953778538352,9.140537681402062,0.09500393175517644,1.0079321985414225,0.7366924440383912,456.86402885279904,111.43815054446361,nan,nan
flexible,Regen-VAE,5,1.0,0.5841281357145208,9.2743744658313,0.15016075488221353,1.011414095310557,0.740174097418785,424.527596508742,110.55428705166135,nan,nan
flexible,Rinse-2xDiff,5,0.6688,0.19094929929765017,8.770247785079352,0.06304444406625886,1.005430013220003,0.7710682187318801,454.02389212064725,110.6261230203319,nan,nan
