Attack,Rank,Q@0.7P,Q@0.4P,Avg P,Avg Q,attack_key
Dist-Rotation,1,0.26365536698905023,0.26365536698905023,1.0,0.20955851048814617,distortion_single_rotation
Dist-RCrop,2,0.34236466365090945,0.34236466365090945,1.0,0.3117026395640676,distortion_single_resizedcrop
Dist-Erase,3,0.9467414938845061,0.9467414938845061,1.0,0.8434878492715867,distortion_single_erasing
Dist-Bright,4,0.9731514859361674,0.9731514859361674,1.0,0.8422911422598756,distortion_single_brightness
Dist-Contrast,5,0.9832006415557717,0.9832006415557717,1.0,0.8727782814741172,distortion_single_contrast
Dist-Blur,6,0.45359110658866497,0.45359110658866497,1.0,0.44113103441316037,distortion_single_blurring
Dist-Noise,7,0.8842388414212304,0.8842388414212304,1.0,0.5915760320759061,distortion_single_noise
Dist-JPEG,8,0.9119025993259703,0.9119025993259703,1.0,0.8219291535174532,distortion_single_jpeg
Dist-Com-Geo,9,0.30520045094793485,0.30520045094793485,1.0,0.23474837089319855,distortion_combo_geometric
Dist-Com-Photo,10,0.9415084726127531,0.9415084726127531,1.0,0.7177472905309867,distortion_combo_photometric
Dist-Com-Deg,11,0.40333253490438864,0.40333253490438864,1.0,0.2484203386158562,distortion_combo_degradation
Dist-Com-All,12,0.3381238497105326,0.3381238497105326,1.0,0.219655829917586,distortion_combo_all
Regen-Diffusion,13,0.906331640684178,0.906331640684178,1.0,0.7293582901701349,regen_diffusion
Regen-Diffusion&P,14,0.8955595311923302,0.8955595311923302,1.0,0.6092126016571299,regen_diffusion_prompt
Regen-VAE,15,0.906331640684178,0.906331640684178,1.0,0.7293582901701349,regen_vae
Regen-2xDiffusion,16,0.9036611124989145,0.9036611124989145,1.0,0.6601130885715956,2x_regen
Regen-4xDiffusion,17,0.8942176413533188,0.8942176413533188,1.0,0.605135266500582,4x_regen
Regen-4xVAE,18,0.8942176413533188,0.8942176413533188,1.0,0.605135266500582,4x_regen_bmshj
AdvEmb-RN18,19,0.8606116175764538,0.8606116175764538,1.0,0.7376478245803447,adv_emb_resnet18_untg
AdvEmb-CLIP,20,0.8606116175764538,0.8606116175764538,1.0,0.7376478245803447,adv_emb_clip_untg_alphaRatio_0.05_step_200
AdvEmb-KLVAE8,21,0.8606116175764538,0.8606116175764538,1.0,0.7376478245803447,adv_emb_same_vae_untg
AdvEmb-KLVAE16,22,0.8606116175764538,0.8606116175764538,1.0,0.7376478245803447,adv_emb_klf16_vae_untg
AdvEmb-SdxlVAE,23,0.8606116175764538,0.8606116175764538,1.0,0.7376478245803447,adv_emb_sdxl_vae_untg
AdvCls-UnWM-WM,24,0.8165204860809904,0.8165204860809904,1.0,0.6782393412866587,adv_cls_unwm_wm_0.01_50_warm_train3k
AdvCls-Real-WM,25,0.8165204860809904,0.8165204860809904,1.0,0.6782393412866587,adv_cls_real_wm_0.01_50_warm
AdvCls-WM1-WM2,26,0.8165204860809904,0.8165204860809904,1.0,0.6782393412866587,adv_cls_wm1_wm2_0.01_50_warm
