attack_key,attack_label,strength,P,Q,raw_similarity
distortion_single_rotation,Dist-Rotation,0.2,1.0,0.26365536698905023,1e-12
distortion_single_rotation,Dist-Rotation,0.4,1.0,0.22890038162856555,1e-12
distortion_single_rotation,Dist-Rotation,0.6,1.0,0.20204440269315574,1e-12
distortion_single_rotation,Dist-Rotation,0.8,1.0,0.18378835383786551,1e-12
distortion_single_rotation,Dist-Rotation,1.0,1.0,0.16940404729209374,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.2,1.0,0.34236466365090945,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.4,1.0,0.3260895974972358,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.6,1.0,0.320083736650939,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.8,1.0,0.29485488329991916,1e-12
distortion_single_resizedcrop,Dist-RCrop,1.0,1.0,0.27512031672133447,1e-12
distortion_single_erasing,Dist-Erase,0.2,1.0,0.9467414938845061,1e-12
distortion_single_erasing,Dist-Erase,0.4,1.0,0.8950972214164229,1e-12
distortion_single_erasing,Dist-Erase,0.6,1.0,0.8432990703536012,1e-12
distortion_single_erasing,Dist-Erase,0.8,1.0,0.7923247757070623,1e-12
distortion_single_erasing,Dist-Erase,1.0,1.0,0.7399766849963418,1e-12
distortion_single_brightness,Dist-Bright,0.2,1.0,0.9731514859361674,1e-12
distortion_single_brightness,Dist-Bright,0.4,1.0,0.9136350048759667,1e-12
distortion_single_brightness,Dist-Bright,0.6,1.0,0.8431534620813965,1e-12
distortion_single_brightness,Dist-Bright,0.8,1.0,0.7739181151741414,1e-12
distortion_single_brightness,Dist-Bright,1.0,1.0,0.7075976432317058,1e-12
distortion_single_contrast,Dist-Contrast,0.2,1.0,0.9832006415557717,1e-12
distortion_single_contrast,Dist-Contrast,0.4,1.0,0.9392727211762524,1e-12
distortion_single_contrast,Dist-Contrast,0.6,1.0,0.8783747062896037,1e-12
distortion_single_contrast,Dist-Contrast,0.8,1.0,0.8125793206207634,1e-12
distortion_single_contrast,Dist-Contrast,1.0,1.0,0.7504640177281949,1e-12
