Attack,Rank,Q@0.7P,Q@0.4P,Avg P,Avg Q,attack_key
Dist-Rotation,1,0.45631017339382957,0.45631017339382957,1.0,0.39587717922150767,distortion_single_rotation
Dist-RCrop,2,0.5426668651913292,0.5426668651913292,1.0,0.5122437940064815,distortion_single_resizedcrop
Dist-Erase,3,0.9446762828336319,0.9446762828336319,1.0,0.8414826556585195,distortion_single_erasing
Dist-Bright,4,0.9752743027560863,0.9752743027560863,1.0,0.8463852897444267,distortion_single_brightness
Dist-Contrast,5,0.988713241789601,0.988713241789601,1.0,0.9109805190744027,distortion_single_contrast
Dist-Blur,6,0.606063723143759,0.606063723143759,1.0,0.6022622517744949,distortion_single_blurring
Dist-Noise,7,0.8348464073501398,0.8348464073501398,1.0,0.48573601970936914,distortion_single_noise
Dist-JPEG,8,0.9014814113703216,0.9014814113703216,1.0,0.7923871097790804,distortion_single_jpeg
Dist-Com-Geo,9,0.4757726217291896,0.4757726217291896,1.0,0.40086927181172705,distortion_combo_geometric
Dist-Com-Photo,10,0.9501638119403388,0.9501638119403388,1.0,0.7363795538871376,distortion_combo_photometric
Dist-Com-Deg,11,0.5284695521685755,0.5284695521685755,1.0,0.31849361103701235,distortion_combo_degradation
Dist-Com-All,12,0.4889763981319676,0.4889763981319676,1.0,0.28774927871232814,distortion_combo_all
Regen-Diffusion,13,0.8918626667932437,0.8918626667932437,1.0,0.669973287831293,regen_diffusion
Regen-Diffusion&P,14,0.8746732858737004,0.8746732858737004,1.0,0.5591177787764705,regen_diffusion_prompt
Regen-VAE,15,0.8918626667932437,0.8918626667932437,1.0,0.669973287831293,regen_vae
Regen-2xDiffusion,16,0.8886632270638182,0.8886632270638182,1.0,0.6182675666419692,2x_regen
Regen-4xDiffusion,17,0.8781608629293685,0.8781608629293685,1.0,0.586050041624972,4x_regen
Regen-4xVAE,18,0.8781608629293685,0.8781608629293685,1.0,0.586050041624972,4x_regen_bmshj
AdvEmb-RN18,19,0.81824848291271,0.81824848291271,1.0,0.6576629618164193,adv_emb_resnet18_untg
AdvEmb-CLIP,20,0.81824848291271,0.81824848291271,1.0,0.6576629618164193,adv_emb_clip_untg_alphaRatio_0.05_step_200
AdvEmb-KLVAE8,21,0.81824848291271,0.81824848291271,1.0,0.6576629618164193,adv_emb_same_vae_untg
AdvEmb-KLVAE16,22,0.81824848291271,0.81824848291271,1.0,0.6576629618164193,adv_emb_klf16_vae_untg
AdvEmb-SdxlVAE,23,0.81824848291271,0.81824848291271,1.0,0.6576629618164193,adv_emb_sdxl_vae_untg
AdvCls-UnWM-WM,24,0.7551623203704613,0.7551623203704613,1.0,0.5824717133278478,adv_cls_unwm_wm_0.01_50_warm_train3k
AdvCls-Real-WM,25,0.7551623203704613,0.7551623203704613,1.0,0.5824717133278478,adv_cls_real_wm_0.01_50_warm
AdvCls-WM1-WM2,26,0.7551623203704613,0.7551623203704613,1.0,0.5824717133278478,adv_cls_wm1_wm2_0.01_50_warm
