method,attack,n_strengths,avg_P,avg_Q,avg_PSNR,avg_SSIM,avg_NMI,avg_LPIPS,avg_FID,avg_CLIP_FID,avg_aesthetics_delta,avg_artifacts
tree-ring,Regen-Diff,5,0.0,0.23811502645629884,11.150764399959936,0.13203735996288954,1.0016639920513108,0.9421267560958861,526.7981629252927,123.83078951606566,nan,nan
tree-ring,Regen-VAE,5,0.0,0.46865424366578434,11.291933483280545,0.26432816200894516,1.0105872837165113,0.8238247592687606,570.4067368452698,119.49042457766006,nan,nan
tree-ring,Rinse-2xDiff,5,0.0,0.30126390732720687,10.777588792017244,0.07903856837848641,1.001091544964622,0.8035696615219117,498.65436445695224,118.11766007506249,nan,nan
