attack,detected,first_hit_level,first_hit_bands,first_hit_ratio,mse,psnr_db,ssim,residual_ncc
clean,True,1,HH,31.856343784526498,5.848974262109256e-07,62.329202897066935,0.9999782020741572,0.9999999999969478
gaussian_noise_low,True,1,HH,2.6259266123704434,0.00010033488739301276,39.98548032405057,0.9672030184860502,0.07782797260735065
gaussian_noise_high,True,1,HH+LH,2.2558382029408808,0.0008981762952476975,30.46638411062404,0.8025542804216514,0.022572729620759513
rescale_75pct_restore,True,1,HH,1.0742359698426092,0.0005775334379370004,32.384228659966425,0.9391943672809115,0.034009432788132545
halftone_bayer_4x4,False,,,,0.19650857736659963,7.066184884352001,0.05469747847181664,0.0015767840175567875
